0.100000, 7.503335
0.137695, 7.482190
0.175679, 7.453706
0.213833, 7.417550
0.252020, 7.373485
0.290088, 7.321407
0.327879, 7.261377
0.365240, 7.193624
0.402031, 7.118521
0.438130, 7.036541
0.473441, 6.948212
0.507889, 6.854070
0.541424, 6.754620
0.574012, 6.650322
0.605637, 6.541577
0.636292, 6.428729
0.665980, 6.312069
0.694707, 6.191842
0.722483, 6.068256
0.749320, 5.941489
0.775229, 5.811693
0.800221, 5.679004
0.824306, 5.543541
0.847492, 5.405413
0.869786, 5.264720
0.891192, 5.121556
0.911714, 4.976008
0.931353, 4.828159
0.950109, 4.678089
0.967981, 4.525874
0.984964, 4.371588
1.001056, 4.215301
1.016249, 4.057081
1.030536, 3.896993
1.043909, 3.735100
1.056356, 3.571461
1.067868, 3.406132
1.078430, 3.239167
1.088028, 3.070615
1.096647, 2.900521
1.104267, 2.728929
1.110870, 2.555875
1.116433, 2.381394
1.120933, 2.205518
1.124343, 2.028274
1.126634, 1.849689
1.127774, 1.669792
1.127729, 1.488613
1.126460, 1.306194
1.123928, 1.122591
1.120089, 0.937888
1.114901, 0.752210
1.108319, 0.565741
1.100303, 0.378749
1.090820, 0.191619
1.079850, 0.004881
1.067391, -0.180760
1.053469, -0.364414
1.038148, -0.545015
1.021536, -0.721394
1.003786, -0.892392
0.985096, -1.057021
0.965693, -1.214626
0.945815, -1.364999
0.925691, -1.508394
0.905519, -1.645451
0.885456, -1.777052
0.865613, -1.904162
0.846057, -2.027706
0.826817, -2.148487
0.807895, -2.267148
0.789273, -2.384176
0.770921, -2.499911
0.752798, -2.614580
0.734864, -2.728312
0.717075, -2.841169
0.699391, -2.953158
0.681772, -3.064252
0.664181, -3.174394
0.646587, -3.283511
0.628959, -3.391517
0.611272, -3.498319
0.593502, -3.603816
0.575629, -3.707906
0.557637, -3.810483
0.539510, -3.911442
0.521238, -4.010676
0.502810, -4.108078
0.484219, -4.203540
0.465460, -4.296955
0.446530, -4.388216
0.427427, -4.477214
0.408152, -4.563844
0.388706, -4.647996
0.369094, -4.729563
0.349321, -4.808438
0.329393, -4.884512
0.309319, -4.957677
0.289108, -5.027825
0.268771, -5.094849
0.248322, -5.158642
0.227773, -5.219095
0.207141, -5.276104
0.186442, -5.329564
0.165693, -5.379370
0.144915, -5.425420
0.124128, -5.467616
0.103355, -5.505858
0.082618, -5.540052
0.061943, -5.570107
0.041357, -5.595936
0.020887, -5.617454
0.000563, -5.634585
-0.019583, -5.647257
-0.039520, -5.655403
-0.059212, -5.658966
-0.078624, -5.657894
-0.097717, -5.652149
-0.116451, -5.641697
-0.134785, -5.626521
-0.152673, -5.606612
-0.170069, -5.581978
-0.186925, -5.552640
-0.203188, -5.518636
-0.218804, -5.480026
-0.233716, -5.436886
-0.247862, -5.389318
-0.261179, -5.337449
-0.273598, -5.281435
-0.285047, -5.221463
-0.295453, -5.157759
-0.304736, -5.090588
-0.312816, -5.020262
-0.319609, -4.947148
-0.325036, -4.871675
-0.329018, -4.794343
-0.331491, -4.715739
-0.332406, -4.636545
-0.331747, -4.557556
-0.329541, -4.479687
-0.325879, -4.403969
-0.320927, -4.331518
-0.314940, -4.263455
-0.308250, -4.200776
-0.301246, -4.144190
-0.294334, -4.093964
-0.287891, -4.049865
-0.282229, -4.011206
-0.277572, -3.976978
-0.274060, -3.946024
-0.271754, -3.917184
-0.270657, -3.889391
-0.270730, -3.861725
-0.271908, -3.833423
-0.274113, -3.803874
-0.277256, -3.772600
-0.281249, -3.739236
-0.286006, -3.703511
-0.291442, -3.665228
-0.297480, -3.624252
-0.304046, -3.580497
-0.311072, -3.533913
-0.318493, -3.484484
-0.326251, -3.432218
-0.334292, -3.377142
-0.342565, -3.319299
-0.351024, -3.258745
-0.359626, -3.195543
-0.368332, -3.129769
-0.377105, -3.061499
-0.385910, -2.990818
-0.394716, -2.917812
-0.403495, -2.842569
-0.412219, -2.765180
-0.420864, -2.685736
-0.429405, -2.604330
-0.437823, -2.521051
-0.446097, -2.435992
-0.454210, -2.349242
-0.462144, -2.260892
-0.469886, -2.171029
-0.477420, -2.079740
-0.484735, -1.987110
-0.491819, -1.893225
-0.498663, -1.798167
-0.505257, -1.702018
-0.511594, -1.604856
-0.517666, -1.506763
-0.523469, -1.407814
-0.528999, -1.308086
-0.534250, -1.207654
-0.539221, -1.106593
-0.543912, -1.004976
-0.548320, -0.902876
-0.552447, -0.800365
-0.556295, -0.697515
-0.559867, -0.594396
-0.563166, -0.491080
-0.566198, -0.387638
-0.568969, -0.284141
-0.571486, -0.180659
-0.573758, -0.077265
-0.575795, 0.025971
-0.577609, 0.128976
-0.579212, 0.231679
-0.580619, 0.334006
-0.581847, 0.435886
-0.582912, 0.537246
-0.583834, 0.638013
-0.584637, 0.738116
-0.585343, 0.837483
-0.585979, 0.936046
-0.586574, 1.033738
-0.587160, 1.130496
-0.587772, 1.226264
-0.588447, 1.320989
-0.589228, 1.414633
-0.590159, 1.507167
-0.591290, 1.598583
-0.592674, 1.688892
-0.594366, 1.778140
-0.596428, 1.866411
-0.598923, 1.953838
-0.601916, 2.040624
-0.605469, 2.127053
-0.609644, 2.213511
-0.614490, 2.300504
-0.620043, 2.388672
-0.626313, 2.478794
-0.633272, 2.571762
-0.640848, 2.668529
-0.648908, 2.770004
-0.657261, 2.876921
-0.665660, 2.989686
-0.673817, 3.108276
-0.681434, 3.232218
-0.688229, 3.360672
-0.693962, 3.492585
-0.698444, 3.626854
-0.701549, 3.762453
-0.703202, 3.898502
-0.703371, 4.034278
